최저가,품목,밴드형태,네트워크,화면크기,해상도,화면종류,화면,블루투스버전,내장OS,호환가능OS,--,--,램,내장메모리,--,항목,--,--,건강관리,--,--,부가기능,방수기능,--,사용시간,--,--,배터리종류,배터리용량,재질,무게,--,--,--,--,--,--,--,--
85320,스마트워치,밴드교체형,무선랜(WiFi),전화통화,"2.0""",360x480,슈퍼AM-OLED,터치스크린,블루투스4.1,타이젠,안드로이드4.3이상,조도센서있음,"1GHz, 듀얼코어",512M,4G내장,"내장스피커,마이크",,,"SNS, e메일, 일정, 문자, 전화",,,"GPS, S보이스, 내휴대폰찾기, 연락처연동, 화면테마설정, 내장키보드",음악플레이어,생활방수(IP67),전용거치대,배터리일체형,300mAh,"블루블랙, 화이트",4x5.8cm,"66g(블루블랙),84g(화이트)",,,,,,,,,
244230,스마트워치,밴드교체형,"1.2""",360x360,슈퍼AM-OLED,블루투스,"1GHz, 듀얼코어",768M,4G내장,"달리기, 심박측정, 칼로리측정, 운동코칭, 수면패턴분석, 스트레칭알림",,,"심박센서, GPS, S보이스, 자이로센서, 가속계센서, 기압센서",방수(5ATM),,3~4일,,,배터리일체형,300mAh,"블랙, 블루",,,,,,,,,,,,,,,,,,
847240,스마트워치,밴드교체형,무선랜(WiFi),"1.2""",240x240,블루투스,64MB내장,,,"SNS, e메일, 문자, 전화",,,"VO2 MAX, 일일활동량측정, 운동동작인식, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 만보계, 스키",,,"심박센서, GPS, 내휴대폰찾기, 자이로센서, 고도센서, 나침반센서, 기압센서",음악플레이어,방수(10ATM),사용시간:30시간(UltraTrac모드),,,98g,,,,,,,,,,,,,,,,,
296000,스마트워치,밴드교체형,무선랜(WiFi),전화통화,블루투스,iOS,듀얼코어,8G내장,,"일정, 문자, 전화",,,"스트레스모니터링, 일일활동량측정, 이동거리측정, 달리기, 심박측정, 칼로리측정, 운동정보기록, 운동코칭",,,"심박센서, GPS, SOS안심서비스, 고도센서, 기압센서",생활방수,,18시간,,,배터리일체형,,,,,,,,,,,,,,,,,
198000,스마트워치,"1.2""",390x390,AM-OLED,블루투스5.1,"안드로이드4.4이상, iOS9.0이상",16M,4G내장,,"문자, 전화",,,"스트레스모니터링, 혈압측정, VO2 MAX, 달리기, 사이클링, 수영모니터링, 트랙킹, 심박측정, 수면패턴분석",,,"날짜,요일표시, GPS, 음악재생(저장가능), 내휴대폰찾기, 화면테마설정, 자이로센서, 기압센서, 알람설정",방수(5ATM),,7일,,,스테인리스스틸,29g,,,,,,,,,,,,,,,,
302200,스마트워치,LTE,"1.2""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS5.0이상",1.5G,4G내장,,"스트레스모니터링, 달리기, 사이클링, 수영모니터링, 수면패턴분석",,,"원격촬영, 음성명령, 화면테마설정",,,배터리일체형,247mAh,스테인리스스틸,37g,,,,,,,,,,,,,,,,,
119900,스마트워치,무선랜(WiFi),"1.3""",AM-OLED,블루투스4.2,,"SNS, 문자, 전화",,,"이동거리측정, 달리기, 심박측정, 칼로리측정, 만보계, 스키",,,"심박센서, GPS, 자이로센서, 가속계센서, NFC, 기압센서",생활방수(IP68),,,,,,,,,,,,,,,,,,,,,,,,,
572620,스마트워치,밴드교체형,무선랜(WiFi),368x448,OLED,터치스크린,블루투스5.0,,,32G내장,,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,,,,
703790,스마트워치,"1.2""",240x240,"실내운동모드, VO2 MAX, 달리기, 사이클링, 수영모니터링, 트랙킹, 심박측정, 골프",,,"타이머, GPS, 음악재생(저장가능), 스톱워치, 자이로센서, 고도센서, 기압센서, 알람설정",방수(5ATM),,14일,,,50g,,,,,,,,,,,,,,,,,,,,,,,,,,
292250,스마트워치,밴드교체형,무선랜(WiFi),"1.2""",360x360,LCD,터치스크린,블루투스4.2,,"1.1GHz, 쿼드코어",768M,4G내장,"칼로리측정, 만보계",,,"타이머, 스톱워치, 고도센서, 나침반센서",생활방수(IP68),,배터리일체형,240mAh,,,,,,,,,,,,,,,,,,,
39900,스마트워치,"1.3""",240x240,"SNS, 문자, 전화",,,"혈압측정, 달리기, 사이클링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석",,,"내휴대폰찾기, 원격촬영, 알람설정",,,180mAh,33.5g,,,,,,,,,,,,,,,,,,,,,,,,,
115200,스마트워치,밴드교체형,무선랜(WiFi),"1.2""",360x360,슈퍼AM-OLED,터치스크린,블루투스4.1,타이젠,"안드로이드4.4이상, iOS9.0이상",,,"1GHz, 듀얼코어",512M,4G내장,"SNS, 카톡, e메일, 일정, 문자, 전화",,,"심박측정, 운동정보기록",,,"심박센서, S보이스, 연락처연동, 화면테마설정, 자이로센서, 가속계센서, 무선충전, 원형휠UX",음악플레이어,생활방수(IP68),2~3일,,,배터리일체형,250mAh,"다크그레이,실버",47g,,,,,,,,
39000,스마트워치,"0.96""",OLED,터치스크린,,,"일정, 문자, 전화",,,"일일활동량측정, 심박측정, 수면패턴분석",,,"심박센서, 내휴대폰찾기",생활방수(IP67),,,,,,,,,,,,,,,,,,,,,,,,,
523800,스마트워치,밴드교체형,LTE,무선랜(WiFi),324x394,OLED,터치스크린,블루투스5.0,,듀얼코어,16G내장,,"호흡가이드, 운동동작인식, 이동거리측정, 심박측정, 칼로리측정, 만보계",,,"기온, 넘어짐 감지, 심박센서, 주변광센서, GPS, 자이로센서, 가속계센서, 고도센서, 기압센서",음악플레이어,방수(5ATM),18시간,,,,,,,,,,,,,,,,,,,,
121390,스마트워치,"1.39""",454x454,AM-OLED,,,"문자, 전화",,,"달리기, 사이클링, 수영모니터링, 심박측정, 수면패턴분석",,,"내휴대폰찾기, 날씨, 스톱워치, 화면테마설정, 알람설정",음악플레이어,방수(5ATM),24일,,,,,,,,,,,,,,,,,,,,,,,
320000,스마트워치,무선랜(WiFi),"1.4""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS5.0이상",768M,4G내장,,"SNS, 문자, 전화",,,"스트레스모니터링, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계",,,"원격촬영, 음성명령",,,"평균 60시간,최대 131시간",,,배터리일체형,340mAh,알루미늄,30g,,,,,,,,,,,
169000,스마트워치,"1.3""",AM-OLED,터치스크린,블루투스4.2,,"이동거리측정, 심박측정, 칼로리측정, 수면패턴분석, 만보계",,,"심박센서, GPS, 자이로센서, 나침반센서, 기압센서",방수(5ATM),,평균 2주,,,,,,,,,,,,,,,,,,,,,,,,,,
14060,스마트워치,전화통화,"1.56""",240x240,블루투스3.0,"iOS, 안드로이드","533Mhz, MTK6260A",64M,"microSD,최대32G",200만화소,,,"SNS, e메일, 문자, 전화",,,"수면패턴분석, 만보계",,,"원격촬영, 연락처연동",음악플레이어,생활방수,3시간,180시간,,배터리,300mAh,75g,,,,,,,,,,,,
48990,스마트워치,블루투스4.0BLE,,전화,,,만보계,,,알람설정,방수(3ATM),,,,,,,,,,,,,,,,,,,,,,,,,,,,
150220,스마트워치,밴드교체형,터치스크린,블루투스,,,"문자, 전화",,,"VO2 MAX, 이동거리측정, 달리기, 수영모니터링",,,알람설정,방수(5ATM),,,,,,,,,,,,,,,,,,,,,,,,,
667990,스마트워치,밴드교체형,무선랜(WiFi),"1.2""",240x240,블루투스,64MB내장,,,"SNS, e메일, 문자, 전화",,,"VO2 MAX, 일일활동량측정, 운동동작인식, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 만보계, 스키",,,"심박센서, GPS, 내휴대폰찾기, 자이로센서, 고도센서, 나침반센서, 기압센서",음악플레이어,방수(10ATM),사용시간:30시간(UltraTrac모드),,,98g,,,,,,,,,,,,,,,,,
539000,스마트워치,밴드교체형,LTE,무선랜(WiFi),368x448,OLED,터치스크린,블루투스5.0,,듀얼코어,16G내장,,"호흡가이드, 운동동작인식, 이동거리측정, 심박측정, 칼로리측정, 만보계",,,"기온, 넘어짐 감지, 심박센서, 주변광센서, GPS, 자이로센서, 가속계센서, 고도센서, 기압센서",음악플레이어,방수(최대50m),18시간,,,,,,,,,,,,,,,,,,,,
1280000,스마트워치,"1.4""",,32G내장,,,"문자, 전화",,,"스트레스모니터링, VO2 MAX, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 운동정보기록, 수면패턴분석, 스키",,,"타이머, GPS, 음악재생(저장가능), 내휴대폰찾기, 고도센서, 기압센서, 알람설정, 속도계, 일출,일몰알림",방수(10ATM),,최대21일,,,,,,,,,,,,,,,,,,,,,,,
56010,스마트워치,"0.96""",80x160,LCD,,,"SNS, 문자, 전화",,,"이동거리측정, 칼로리측정, 수면패턴분석, 만보계",,,생활방수(IP67),,,,,,,,,,,,,,,,,,,,,,,,,,
341250,스마트워치,,,1G,8G내장,,알람,,,심박측정,,,음성명령(구글),음악플레이어,생활방수,1일,,,,,,,,,,,,,,,,,,,,,,,
75250,스마트워치,,,"이동거리측정, 달리기, 수영모니터링, 수면패턴분석",,,방수(5ATM),,,8달,,,스테인리스스틸,,,,,,,,,,,,,,,,,,,,,,,,,,
692010,스마트워치,밴드교체형,무선랜(WiFi),368x448,OLED,터치스크린,블루투스5.0,,,32G내장,,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,,,,
527680,스마트워치,밴드교체형,무선랜(WiFi),324x394,OLED,블루투스5.0,32G내장,,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,,,,,,,
511400,스마트워치,밴드교체형,무선랜(WiFi),324x394,OLED,블루투스5.0,32G내장,,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,,,,,,,
359700,스마트워치,밴드교체형,무선랜(WiFi),"1.2""",360x360,슈퍼AM-OLED,터치스크린,블루투스4.2,타이젠,"1.15GHz, 듀얼코어",768M,4G내장,"스트레스모니터링, 호흡가이드, 달리기, 수영모니터링, 심박측정, 운동정보기록, 수면패턴분석, 골프",,,"심박센서, GPS, 날씨, 일정관리, 자이로센서, NFC, 고도센서, 기압센서, 속도계, 스마트 캐디앱, 그린맵, 코스뷰, 스코어카드, 홀 자동 인식","생활방수(IP68), 방수(5ATM)",,"평균 45시간,최대 120시간",9시간,,배터리일체형,270mAh,미드나잇블랙,49g,,,,,,,,,,,,,,
169000,스마트워치,밴드교체형,무선랜(WiFi),LCD,터치스크린,블루투스4.0,"호흡가이드, 이동거리측정, 달리기, 수영모니터링, 심박측정, 운동정보기록, 운동코칭, 수면패턴분석",,,"심박센서, 음악재생(저장가능), 앱설치, 자이로센서, 가속계센서, 고도센서",방수(최대50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,
486000,스마트워치,밴드교체형,무선랜(WiFi),368x448,OLED,터치스크린,블루투스5.0,,,듀얼코어,16G내장,,"호흡가이드, 운동동작인식, 이동거리측정, 심박측정, 칼로리측정, 만보계",,,"기온, 넘어짐 감지, 심박센서, 주변광센서, GPS, 자이로센서, 가속계센서, 고도센서, 기압센서",음악플레이어,방수(최대50m),18시간,,,,,,,,,,,,,,,,,,,,
1860000,스마트워치,밴드교체형,무선랜(WiFi),368x448,OLED,터치스크린,블루투스5.0,,,32G내장,,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,,,,
89000,스마트워치,밴드교체형,"1.22""",240x240,,,"SNS, 문자, 전화",,,"혈중산소농도, 이동거리측정, 심박측정, 칼로리측정, 수면패턴분석, 만보계",,,"내휴대폰찾기, 원격촬영, 스톱워치",생활방수(IP67),,메탈,"실버, 블랙, 로즈골드",,,,,,,,,,,,,,,,,,,,,,
259710,스마트워치,터치스크린,,"일일활동량측정, 이동거리측정, 수영모니터링, 심박측정, 칼로리측정, 만보계",,,"날짜,요일표시, 다중언어, 듀얼타임, 심박센서, GPS, 스톱워치, 배터리확인, 고도센서, 나침반센서, 알람설정, 속도계",방수(10ATM),,12시간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220500,스마트워치,LTE,무선랜(WiFi),368x448,AM-OLED,블루투스5.0,1G,8G내장,,"문자, 전화",,,심박측정,,,"GPS, 자이로센서, 가속계센서, NFC",,,36시간,,,무선(WiPower),570mAh,알루미늄,,,,,,,,,,,,,,,
990000,스마트워치,"1.3""",,32G내장,,,"문자, 전화",,,"스트레스모니터링, VO2 MAX, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 운동정보기록, 수면패턴분석, 스키",,,"타이머, GPS, 음악재생(저장가능), 내휴대폰찾기, 고도센서, 기압센서, 알람설정, 속도계, 일출,일몰알림",방수(10ATM),,최대13일,,,,,,,,,,,,,,,,,,,,,,,
75864,스마트워치,밴드교체형,LTE,3G,16G내장,,"전화, 어플리케이션",,,"달리기, 사이클링, 심박측정, 운동정보기록",,,음악플레이어,,,300mAh+1200mAh,,,,,,,,,,,,,,,,,,,,,,,
12450,스마트워치,"1.3""",터치스크린,블루투스,,,"SNS, 알람, 문자, 전화",,,"혈압측정, 이동거리측정, 달리기, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계",,,"원격촬영, 분실방지, 알람설정",생활방수(IP67),,"그린, 레드, 블랙, 블루, 퍼플",,,,,,,,,,,,,,,,,,,,,,,
258700,스마트워치,밴드교체형,3G,무선랜(WiFi),전화통화,"1.2""",360x360,슈퍼AM-OLED,터치스크린,블루투스4.1,타이젠,"안드로이드4.4이상, iOS9.0이상","1GHz, 듀얼코어",512M,4G내장,"SNS, e메일, 일정, 알람, 문자, 전화",,,"심박측정, 운동정보기록",,,"심박센서, GPS, S보이스, 연락처연동, 화면테마설정, 자이로센서, 가속계센서, 무선충전, 원형휠UX",음악플레이어,생활방수(IP68),2~3일,,,배터리일체형,250mAh,프리미엄블랙,42g,20mm,,,,,,,
139770,스마트워치,"1.39""",454x454,AM-OLED,블루투스5.0,,"스트레스모니터링, 호흡가이드, 달리기, 사이클링, 수영모니터링, 트랙킹, 심박측정, 칼로리측정, 수면패턴분석, 만보계",,,"날짜,요일표시, 심박센서, 자이로센서, 가속계센서, NFC",생활방수(최대50m),,14일,,,420mAh,,,,,,,,,,,,,,,,,,,,,,,
36780,스마트워치,"1.3""",240x240,"문자, 전화",,,"혈압측정, 이동거리측정, 심박측정, 수면패턴분석",,,"원격촬영, 알람설정",생활방수(IP67),,7~10일,,,180mAh,,,,,,,,,,,,,,,,,,,,,,,
88359,스마트워치,밴드교체형,3G,무선랜(WiFi),"2.2""",320x240,IPS,블루투스4.0,안드로이드5.1,"1.3GHz, MTK6580, 쿼드코어",1G,16G내장,"이동거리측정, 심박측정, 만보계",,,"GPS, 화면테마설정, 음악 스트리밍",,,배터리일체형,1200mAh,77.8g,,,,,,,,,,,,,,,,,,
332490,스마트워치,블루투스,,"SNS, 문자, 전화",,,"이동거리측정, 심박측정, 칼로리측정, 운동정보기록, 만보계",,,"듀얼타임, 심박센서, 타이머, 폭풍알람, GPS, 스톱워치, 고도센서, 나침반센서, 기압센서, 속도계, 일출,일몰알림",방수(10ATM),,,,,,,,,,,,,,,,,,,,,,,,,,,,
849000,스마트워치,밴드교체형,무선랜(WiFi),324x394,OLED,터치스크린,블루투스5.0,,,32G내장,,,"문자, 전화",,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,
137310,스마트워치,LTE,무선랜(WiFi),MTK6739,500만화소,,"달리기, 사이클링, 심박측정",,,"GPS, 앱설치",생활방수(IP67),,16시간,,,700mAh,,,,,,,,,,,,,,,,,,,,,,,
649000,스마트워치,밴드교체형,무선랜(WiFi),전화통화,블루투스,iOS,듀얼코어,8G내장,,"일정, 문자, 전화",,,"스트레스모니터링, 일일활동량측정, 이동거리측정, 달리기, 심박측정, 칼로리측정, 운동정보기록, 운동코칭",,,"심박센서, GPS, SOS안심서비스, 고도센서, 기압센서",방수(최대50m),,18시간,,,배터리일체형,,,,,,,,,,,,,,,,,
22000,스마트워치,밴드분리형(클립),OLED,"SNS, 문자, 전화",,,"혈압측정, 이동거리측정, 심박측정, 칼로리측정, 수면패턴분석, 만보계",,,진동경보,생활방수(IP68),,10~15,35~45일,,,,,,,,,,,,,,,,,,,,,,,,,
198000,스마트워치,"1.3""",AM-OLED,터치스크린,블루투스4.2,,"이동거리측정, 심박측정, 칼로리측정, 수면패턴분석, 만보계",,,"심박센서, GPS, 자이로센서, 나침반센서, 기압센서",방수(5ATM),,평균 2주,,,,,,,,,,,,,,,,,,,,,,,,,,
29520,스마트밴드,"0.95""",AM-OLED,"SNS, 전화",,,"혈중산소농도, 운동동작인식, 심박측정, 칼로리측정, 수면패턴분석",,,생활방수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74410,스마트워치,블루투스,"iOS8.0이상, 안드로이드4.0이상","SNS, 문자, 전화",,,"이동거리측정, 심박측정, 칼로리측정, 수면패턴분석, 만보계",,,음악플레이어,생활방수(IP54),,,,,,,,,,,,,,,,,,,,,,,,,,,,
29520,스마트워치,"1.4""",,"문자, 전화",,,"혈압측정, 심박측정, 칼로리측정, 만보계",,,생활방수(IP68),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116020,스마트워치,"1.3""",240x240,블루투스4.0,,,"문자, 전화",,,"혈압측정, 이동거리측정, 심박측정, 칼로리측정, 수면패턴분석",,,"날짜,요일표시, 원격촬영, 스톱워치, 알람설정",생활방수(IP68),,300mAh,,,,,,,,,,,,,,,,,,,,,,,
908990,스마트워치,밴드교체형,무선랜(WiFi),368x448,OLED,터치스크린,블루투스5.0,,,32G내장,,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,,,,
692000,스마트워치,밴드교체형,무선랜(WiFi),368x448,OLED,터치스크린,블루투스5.0,,,32G내장,,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,,,,
60310,스마트워치,"1.3""",360x360,블루투스5.0,,,"문자, 전화",,,"혈압측정, 이동거리측정, 사이클링, 심박측정, 칼로리측정, 수면패턴분석",,,스톱워치,생활방수(IP67),,7일,,,240mAh,,,,,,,,,,,,,,,,,,,,
414810,스마트워치,밴드교체형,LTE,무선랜(WiFi),블루투스4.2,iOS,16G내장,,,"e메일, 문자, 전화",,,"호흡가이드, 일일활동량측정, 이동거리측정, 수영모니터링, 심박측정, 운동정보기록, 운동코칭, 만보계",,,"심박센서, GPS, 음성명령(Siri), 자이로센서, 가속계센서, 기압센서, 음악 스트리밍",방수(최대50m),,18시간,,,배터리일체형,알루미늄,,,,,,,,,,,,,,,,
199000,스마트워치,,,"문자, 전화",,,"스트레스모니터링, VO2 MAX, 달리기, 사이클링, 심박측정, 칼로리측정, 수면패턴분석",,,"타이머, GPS, 알람설정",,,최대7일,,,36g,,,,,,,,,,,,,,,,,,,,,,,
380000,스마트워치,밴드교체형,128x128,블루투스,,,"이동거리측정, 심박측정, 칼로리측정, 수면패턴분석, 만보계",,,"심박센서, GPS, 고도센서, 나침반센서, 기압센서",방수(10ATM),,,,,,,,,,,,,,,,,,,,,,,,,,,,
255840,스마트워치,밴드교체형,LCD,터치스크린,블루투스,,"SNS, 카톡, 문자, 전화",,,"호흡가이드, 일일활동량측정, 스마트트랙, 달리기, 사이클링, 수영모니터링, 심박측정, 운동코칭, 수면패턴분석",,,"심박센서, GPS, 음악재생(저장가능), 자이로센서, 가속계센서, 고도센서",방수(최대50m),,,,,,,,,,,,,,,,,,,,,,,,,
34132,스마트워치,"1.3""",터치스크린,문자,,,전화,,,"이동거리측정, 달리기, 사이클링, 심박측정, 칼로리측정, 수면패턴분석, 만보계, 스트레칭알림",,,"다중언어, 원격촬영, 스톱워치, 화면테마설정, 알람설정",생활방수(IP68),,30일,,,배터리일체형,180mAh,,,,,,,,,,,,,,,,,,,
176870,스마트워치,LTE,,800만화소,,,"운동동작인식, 심박측정",,,GPS,생활방수(IP67),,최대7일,,,2700mAh,,,,,,,,,,,,,,,,,,,,,,,
933990,스마트워치,밴드교체형,무선랜(WiFi),368x448,OLED,터치스크린,블루투스5.0,,,32G내장,,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,,,,
391000,스마트워치,"1.1""",터치스크린,"심박센서, GPS, 내휴대폰찾기, 스톱워치, 알람설정, 일출,일몰알림",방수(5ATM),,5일,,,스테인리스스틸,40g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652410,스마트워치,밴드교체형,무선랜(WiFi),324x394,OLED,터치스크린,블루투스5.0,,,32G내장,,,"문자, 전화",,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,
114800,스마트워치,전화통화,"1.3""",240x240,IPS,터치스크린,블루투스4.0,"iOS8.0이상, 안드로이드4.4이상",,"문자, 전화",,,"달리기, 사이클링, 트랙킹, 심박측정, 운동정보기록, 수면패턴분석",,,"날짜,요일표시, 다중언어, GPS, 날씨, 계산기, 자이로센서, 가속계센서, 기압센서, 알람설정",생활방수(IP65),,3일,14일,,400mAh,90g,,microUSB,,,,,,,,,,,,,,
18970,스마트워치,"1.22""",240x240,터치스크린,블루투스4.0,,64MB내장,,,"SNS, 문자, 전화",,,"혈압측정, 혈중산소농도, 이동거리측정, 달리기, 트랙킹, 칼로리측정, 수면패턴분석",,,"내휴대폰찾기, 날씨",음악플레이어,생활방수(IP68),7일,,,170mAh,,,,,,,,,,,,,,,,,
69000,스마트워치,밴드교체형,전화통화,"1.22""",240x204,터치스크린,블루투스4.0,"iOS7.0이상, 안드로이드4.3이상",,128M,64MB내장,,"SNS, e메일, 문자, 전화",,,"심박측정, 운동정보기록, 수면패턴분석, 만보계",,,"심박센서, 음성명령, 분실방지",생활방수(IP54),,180시간,,,배터리,300mAh,70g,22mm,,,,,,,,,,,
133080,스마트워치,3G,전화통화,"1.39""",400x400,블루투스,"1.3GHz, MTK6580",512M,8G내장,"혈압측정, 혈중산소농도, 심박측정, 수면패턴분석, 만보계",,,"심박센서, GPS, 음악재생(저장가능), 날씨","생활방수, 생활방수(IP54)",,2시간,,,360mAh,,,,,,,,,,,,,,,,,,,,
38130,스마트워치,블루투스,,일정,,,"달리기, 사이클링, 수면패턴분석",,,"내휴대폰찾기, 원격촬영, 진동경보",방수(5ATM),,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060000,스마트워치,밴드교체형,무선랜(WiFi),368x448,OLED,터치스크린,블루투스5.0,,,32G내장,,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,,,,
45500,스마트워치,블루투스,,"e메일, 문자, 전화",,,"이동거리측정, 칼로리측정, 운동정보기록, 만보계",,,원격촬영,방수(5ATM),,147g,,,,,,,,,,,,,,,,,,,,,,,,,,
820000,스마트워치,밴드교체형,무선랜(WiFi),"1.2""",218x218,크로마디스플레이,블루투스4.0LE,"iOS, 안드로이드",,32MB내장,,,"e메일, 문자, 전화",,,"일일활동량측정, 달리기, 사이클링, 수영모니터링, 트랙킹, 수면패턴분석",,,"GPS, 음성명령, 고도센서, 나침반센서, 기압센서, 알람설정, 진동경보",방수(최대100m),,배터리일체형,300mAh,75g,,,,,,,,,,,,,,,
92130,스마트워치,3G,무선랜(WiFi),"1.39""",400x400,AM-OLED,터치스크린,블루투스4.0,안드로이드,"1.3GHz, MTK6580, 쿼드코어",1G,16G내장,500만화소,,,"심박측정, 만보계",,,"GPS, 날씨, 음성녹음, 알람설정, 음악 스트리밍",,,배터리일체형,350mAh,,,,,,,,,,,,,,,,
88610,스마트워치,"1.3""",360x360,AM-OLED,터치스크린,블루투스5.0,"e메일, 일정, 알람, 문자",,,"달리기, 사이클링, 심박측정, 운동정보기록, 수면패턴분석, 만보계",,,"GPS, 화면테마설정, 알람설정, 진동경보, 음악 스트리밍",,,20일,,,,,,,,,,,,,,,,,,,,,,,
36280,스마트워치,"1.22""",240x240,OLED,터치스크린,블루투스4.0,"문자, 전화",,,"혈압측정, 심박측정, 수면패턴분석, 만보계, 스트레칭알림",,,"심박센서, 알람설정",생활방수(IP67),,,,,,,,,,,,,,,,,,,,,,,,,
369000,스마트워치,OLED,터치스크린,"e메일, 문자",,,"VO2 MAX, 사이클링, 수영모니터링, 심박측정, 수면패턴분석",,,"날짜,요일표시, 타이머, GPS, 내휴대폰찾기, 날씨, 스톱워치, 기압센서",방수(5ATM),,최대5일,,,스테인리스스틸,24.5,,,,,,,,,,,,,,,,,,,,,,
97290,스마트워치,밴드교체형,3G,무선랜(WiFi),전화통화,"1.39""",400x400,AM-OLED,블루투스4.0,안드로이드5.1,"iOS, 안드로이드",,"1.3GHz, MTK6580, 쿼드코어",512M,4G내장,200만화소,,,"SNS, 문자, 전화",,,"심박측정, 만보계",,,"심박센서, GPS, 내휴대폰찾기, 분실방지, 음성명령(구글나우), 음성녹음",음악플레이어,,배터리,400mAh,,,,,,,,,,
